ImageID,ExpCAM,Threshold,CenterX,CenterY,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25,r=26,r=27,r=28,r=29,r=30,r=31,r=32,r=33,r=34,r=35,r=36,r=37,r=38,r=39,r=40,r=41,r=42,r=43,r=44,r=45,r=46,r=47,r=48,r=49,r=50,r=51,r=52,r=53,r=54,r=55,r=56,r=57,r=58,r=59,r=60,r=61,r=62,r=63,r=64,r=65,r=66,r=67,r=68,r=69
14-24346_20140606_151_ax_fg,layercam,0.3,105,107,0.004672897196261682,0.030373831775700934,0.0630841121495327,0.09579439252336448,0.13551401869158877,0.17523364485981308,0.2219626168224299,0.2523364485981308,0.2897196261682243,0.32710280373831774,0.3621495327102804,0.397196261682243,0.42990654205607476,0.4672897196261682,0.5116822429906542,0.5467289719626168,0.5817757009345794,0.6214953271028038,0.6635514018691588,0.705607476635514,0.7453271028037384,0.7850467289719626,0.822429906542056,0.8551401869158879,0.8901869158878505,0.9228971962616822,0.9485981308411215,0.9742990654205608,0.9953271028037384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_152_ax_fg,layercam,0.3,106,107,0.009478672985781991,0.03317535545023697,0.06398104265402843,0.1018957345971564,0.14454976303317535,0.1848341232227488,0.22037914691943128,0.24881516587677724,0.28199052132701424,0.3104265402843602,0.3459715639810427,0.3815165876777251,0.41706161137440756,0.4549763033175355,0.4976303317535545,0.5402843601895735,0.5829383886255924,0.6279620853080569,0.6682464454976303,0.7085308056872038,0.7488151658767772,0.7914691943127962,0.8293838862559242,0.8649289099526066,0.8981042654028436,0.9265402843601895,0.95260663507109,0.976303317535545,0.9976303317535545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_153_ax_fg,layercam,0.3,103,109,0.004705882352941176,0.01411764705882353,0.02823529411764706,0.05176470588235294,0.07058823529411765,0.0988235294117647,0.12941176470588237,0.15764705882352942,0.1952941176470588,0.2235294117647059,0.25176470588235295,0.2776470588235294,0.30117647058823527,0.3341176470588235,0.37411764705882355,0.41411764705882353,0.45647058823529413,0.4988235294117647,0.5411764705882353,0.5882352941176471,0.6305882352941177,0.6752941176470588,0.7176470588235294,0.7623529411764706,0.8047058823529412,0.8447058823529412,0.88,0.9152941176470588,0.9458823529411765,0.971764705882353,0.9905882352941177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_154_ax_fg,layercam,0.3,104,108,0.0,0.004962779156327543,0.01488833746898263,0.03970223325062035,0.062034739454094295,0.09925558312655088,0.13399503722084366,0.1662531017369727,0.19602977667493796,0.228287841191067,0.26054590570719605,0.2878411910669975,0.33002481389578164,0.3771712158808933,0.41935483870967744,0.46153846153846156,0.5062034739454094,0.5558312655086849,0.607940446650124,0.652605459057072,0.6972704714640199,0.7419354838709677,0.7866004962779156,0.8312655086848635,0.8734491315136477,0.913151364764268,0.9503722084367245,0.9801488833746899,0.9975186104218362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_155_ax_fg,layercam,0.3,113,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171990171990172,0.06388206388206388,0.11302211302211303,0.16461916461916462,0.22604422604422605,0.28746928746928746,0.35872235872235875,0.4250614250614251,0.48894348894348894,0.5626535626535627,0.6314496314496314,0.7027027027027027,0.773955773955774,0.8378378378378378,0.8992628992628993,0.9484029484029484,0.9926289926289926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_156_ax_fg,layercam,0.3,112,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010075566750629723,0.037783375314861464,0.08816120906801007,0.14105793450881612,0.19899244332493704,0.2619647355163728,0.33249370277078083,0.40302267002518893,0.46851385390428213,0.5340050377833753,0.6045340050377834,0.6750629722921915,0.743073047858942,0.8136020151133502,0.8740554156171285,0.9319899244332494,0.9672544080604534,0.9924433249370277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_157_ax_fg,layercam,0.3,114,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021164021164021163,0.06349206349206349,0.1164021164021164,0.16666666666666666,0.2275132275132275,0.29365079365079366,0.36243386243386244,0.43386243386243384,0.5052910052910053,0.582010582010582,0.6534391534391535,0.7248677248677249,0.791005291005291,0.8571428571428571,0.917989417989418,0.9629629629629629,0.9841269841269841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_158_ax_fg,layercam,0.3,94,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010958904109589041,0.03287671232876712,0.057534246575342465,0.08493150684931507,0.1232876712328767,0.1643835616438356,0.2054794520547945,0.2493150684931507,0.2876712328767123,0.32602739726027397,0.3643835616438356,0.4054794520547945,0.44931506849315067,0.4904109589041096,0.5232876712328767,0.5561643835616439,0.589041095890411,0.6273972602739726,0.6657534246575343,0.7068493150684931,0.7534246575342466,0.8,0.8493150684931506,0.8986301369863013,0.9424657534246575,0.9808219178082191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_159_ax_fg,layercam,0.3,94,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005376344086021506,0.024193548387096774,0.04838709677419355,0.08333333333333333,0.12365591397849462,0.1639784946236559,0.20967741935483872,0.25268817204301075,0.29838709677419356,0.34139784946236557,0.3790322580645161,0.4166666666666667,0.45698924731182794,0.4946236559139785,0.5241935483870968,0.5564516129032258,0.5913978494623656,0.6290322580645161,0.6666666666666666,0.7043010752688172,0.7526881720430108,0.8010752688172043,0.8494623655913979,0.8978494623655914,0.9408602150537635,0.978494623655914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14-24346_20140606_160_ax_fg,layercam,0.3,93,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019553072625698324,0.05027932960893855,0.08379888268156424,0.12290502793296089,0.16759776536312848,0.21508379888268156,0.26256983240223464,0.3016759776536313,0.33798882681564246,0.3743016759776536,0.41620111731843573,0.4553072625698324,0.49441340782122906,0.5279329608938548,0.5642458100558659,0.6005586592178771,0.6396648044692738,0.6787709497206704,0.7178770949720671,0.7625698324022346,0.8100558659217877,0.8547486033519553,0.8994413407821229,0.946927374301676,0.9776536312849162,0.9972067039106145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
